Run,Drug,Drug ID,Symptom ID,Symptom
run_001,entrectinib,5345,HP:0001371,Flexion contracture
run_001,aprindine,231,HP:0001371,Flexion contracture
run_001,levosimendan,1576,HP:0001371,Flexion contracture
run_001,aprindine,231,HP:0003323,Progressive muscle weakness
run_001,levosimendan,1576,HP:0003323,Progressive muscle weakness
run_001,entrectinib,5345,HP:0003323,Progressive muscle weakness
run_001,aprindine,231,HP:0001265,Hyporeflexia
run_001,entrectinib,5345,HP:0001265,Hyporeflexia
run_001,axitinib,4225,HP:0001265,Hyporeflexia
run_001,aprindine,231,HP:0003391,Gowers sign
run_001,entrectinib,5345,HP:0003391,Gowers sign
run_001,axitinib,4225,HP:0003391,Gowers sign
run_001,aprindine,231,HP:0002515,Waddling gait
run_001,entrectinib,5345,HP:0002515,Waddling gait
run_001,levosimendan,1576,HP:0002515,Waddling gait
run_001,aprindine,231,HP:0003701,Proximal muscle weakness
run_001,entrectinib,5345,HP:0003701,Proximal muscle weakness
run_001,levosimendan,1576,HP:0003701,Proximal muscle weakness
run_001,levosimendan,1576,HP:0001644,Dilated cardiomyopathy
run_001,aprindine,231,HP:0001644,Dilated cardiomyopathy
run_001,entrectinib,5345,HP:0001644,Dilated cardiomyopathy
run_001,levosimendan,1576,HP:0011675,Arrhythmia
run_001,disopyramide,926,HP:0011675,Arrhythmia
run_001,carvedilol,522,HP:0011675,Arrhythmia
run_001,entrectinib,5345,HP:0001256,"Intellectual disability, mild"
run_001,aprindine,231,HP:0001256,"Intellectual disability, mild"
run_001,axitinib,4225,HP:0001256,"Intellectual disability, mild"
run_001,levosimendan,1576,HP:0001638,Cardiomyopathy
run_001,aprindine,231,HP:0001638,Cardiomyopathy
run_001,disopyramide,926,HP:0001638,Cardiomyopathy
run_001,aprindine,231,HP:0003560,Muscular dystrophy
run_001,levosimendan,1576,HP:0003560,Muscular dystrophy
run_001,disopyramide,926,HP:0003560,Muscular dystrophy
run_001,entrectinib,5345,HP:0002650,Scoliosis
run_001,axitinib,4225,HP:0002650,Scoliosis
run_001,aprindine,231,HP:0002650,Scoliosis
run_001,aprindine,231,HP:0003202,Skeletal muscle atrophy
run_001,levosimendan,1576,HP:0003202,Skeletal muscle atrophy
run_001,entrectinib,5345,HP:0003202,Skeletal muscle atrophy
run_001,entrectinib,5345,HP:0001252,Hypotonia
run_001,axitinib,4225,HP:0001252,Hypotonia
run_001,estradiol,1057,HP:0001252,Hypotonia
run_001,aprindine,231,HP:0001635,Congestive heart failure
run_001,disopyramide,926,HP:0001635,Congestive heart failure
run_001,desipramine,812,HP:0001635,Congestive heart failure
run_001,entrectinib,5345,HP:0000750,Delayed speech and language development
run_001,axitinib,4225,HP:0000750,Delayed speech and language development
run_001,estradiol,1057,HP:0000750,Delayed speech and language development
run_001,aprindine,231,HP:0002791,Hypoventilation
run_001,axitinib,4225,HP:0002791,Hypoventilation
run_001,entrectinib,5345,HP:0002791,Hypoventilation
run_001,levosimendan,1576,HP:0003236,Elevated circulating creatine kinase concentration
run_001,aprindine,231,HP:0003236,Elevated circulating creatine kinase concentration
run_001,disopyramide,926,HP:0003236,Elevated circulating creatine kinase concentration
run_001,entrectinib,5345,HP:0002093,Respiratory insufficiency
run_001,aprindine,231,HP:0002093,Respiratory insufficiency
run_001,axitinib,4225,HP:0002093,Respiratory insufficiency
run_001,aprindine,231,HP:0008981,Calf muscle hypertrophy
run_001,levosimendan,1576,HP:0008981,Calf muscle hypertrophy
run_001,entrectinib,5345,HP:0008981,Calf muscle hypertrophy
run_001,aprindine,231,HP:0003707,Calf muscle pseudohypertrophy
run_001,levosimendan,1576,HP:0003707,Calf muscle pseudohypertrophy
run_001,disopyramide,926,HP:0003707,Calf muscle pseudohypertrophy
run_001,entrectinib,5345,HP:0001290,Generalized hypotonia
run_001,axitinib,4225,HP:0001290,Generalized hypotonia
run_001,mezlocillin,1795,HP:0001290,Generalized hypotonia
run_001,entrectinib,5345,HP:0100543,Cognitive impairment
run_001,axitinib,4225,HP:0100543,Cognitive impairment
run_001,sorafenib,2459,HP:0100543,Cognitive impairment
run_001,entrectinib,5345,HP:0001263,Global developmental delay
run_001,axitinib,4225,HP:0001263,Global developmental delay
run_001,estradiol,1057,HP:0001263,Global developmental delay
run_001,aprindine,231,HP:0003115,Abnormal EKG
run_001,levosimendan,1576,HP:0003115,Abnormal EKG
run_001,Cannabidiol,MESH:D002185,HP:0003115,Abnormal EKG
run_001,aprindine,231,HP:0003307,Hyperlordosis
run_001,levosimendan,1576,HP:0003307,Hyperlordosis
run_001,entrectinib,5345,HP:0003307,Hyperlordosis
run_001,entrectinib,5345,HP:0001328,Specific learning disability
run_001,aprindine,231,HP:0001328,Specific learning disability
run_001,axitinib,4225,HP:0001328,Specific learning disability
run_001,entrectinib,5345,HP:0001270,Motor delay
run_001,axitinib,4225,HP:0001270,Motor delay
run_001,aprindine,231,HP:0001270,Motor delay
run_002,carvedilol,522,HP:0001371,Flexion contracture
run_002,levosimendan,1576,HP:0001371,Flexion contracture
run_002,fedratinib,5347,HP:0001371,Flexion contracture
run_002,levosimendan,1576,HP:0003323,Progressive muscle weakness
run_002,aprindine,231,HP:0003323,Progressive muscle weakness
run_002,carvedilol,522,HP:0003323,Progressive muscle weakness
run_002,fedratinib,5347,HP:0001265,Hyporeflexia
run_002,carvedilol,522,HP:0001265,Hyporeflexia
run_002,aprindine,231,HP:0001265,Hyporeflexia
run_002,fedratinib,5347,HP:0003391,Gowers sign
run_002,carvedilol,522,HP:0003391,Gowers sign
run_002,levosimendan,1576,HP:0003391,Gowers sign
run_002,fedratinib,5347,HP:0002515,Waddling gait
run_002,carvedilol,522,HP:0002515,Waddling gait
run_002,axitinib,4225,HP:0002515,Waddling gait
run_002,carvedilol,522,HP:0003701,Proximal muscle weakness
run_002,levosimendan,1576,HP:0003701,Proximal muscle weakness
run_002,fedratinib,5347,HP:0003701,Proximal muscle weakness
run_002,levosimendan,1576,HP:0001644,Dilated cardiomyopathy
run_002,aprindine,231,HP:0001644,Dilated cardiomyopathy
run_002,carvedilol,522,HP:0001644,Dilated cardiomyopathy
run_002,levosimendan,1576,HP:0011675,Arrhythmia
run_002,carvedilol,522,HP:0011675,Arrhythmia
run_002,disopyramide,926,HP:0011675,Arrhythmia
run_002,fedratinib,5347,HP:0001256,"Intellectual disability, mild"
run_002,carvedilol,522,HP:0001256,"Intellectual disability, mild"
run_002,quercetin,3514,HP:0001256,"Intellectual disability, mild"
run_002,levosimendan,1576,HP:0001638,Cardiomyopathy
run_002,aprindine,231,HP:0001638,Cardiomyopathy
run_002,carvedilol,522,HP:0001638,Cardiomyopathy
run_002,levosimendan,1576,HP:0003560,Muscular dystrophy
run_002,aprindine,231,HP:0003560,Muscular dystrophy
run_002,carvedilol,522,HP:0003560,Muscular dystrophy
run_002,fedratinib,5347,HP:0002650,Scoliosis
run_002,axitinib,4225,HP:0002650,Scoliosis
run_002,carvedilol,522,HP:0002650,Scoliosis
run_002,levosimendan,1576,HP:0003202,Skeletal muscle atrophy
run_002,aprindine,231,HP:0003202,Skeletal muscle atrophy
run_002,carvedilol,522,HP:0003202,Skeletal muscle atrophy
run_002,fedratinib,5347,HP:0001252,Hypotonia
run_002,axitinib,4225,HP:0001252,Hypotonia
run_002,nintedanib,4903,HP:0001252,Hypotonia
run_002,aprindine,231,HP:0001635,Congestive heart failure
run_002,disopyramide,926,HP:0001635,Congestive heart failure
run_002,amiodarone,176,HP:0001635,Congestive heart failure
run_002,fedratinib,5347,HP:0000750,Delayed speech and language development
run_002,axitinib,4225,HP:0000750,Delayed speech and language development
run_002,nintedanib,4903,HP:0000750,Delayed speech and language development
run_002,disopyramide,926,HP:0002791,Hypoventilation
run_002,viltolarsen,5408,HP:0002791,Hypoventilation
run_002,casimersen,5443,HP:0002791,Hypoventilation
run_002,levosimendan,1576,HP:0003236,Elevated circulating creatine kinase concentration
run_002,aprindine,231,HP:0003236,Elevated circulating creatine kinase concentration
run_002,carvedilol,522,HP:0003236,Elevated circulating creatine kinase concentration
run_002,fedratinib,5347,HP:0002093,Respiratory insufficiency
run_002,carvedilol,522,HP:0002093,Respiratory insufficiency
run_002,levosimendan,1576,HP:0002093,Respiratory insufficiency
run_002,levosimendan,1576,HP:0008981,Calf muscle hypertrophy
run_002,carvedilol,522,HP:0008981,Calf muscle hypertrophy
run_002,aprindine,231,HP:0008981,Calf muscle hypertrophy
run_002,aprindine,231,HP:0003707,Calf muscle pseudohypertrophy
run_002,carvedilol,522,HP:0003707,Calf muscle pseudohypertrophy
run_002,disopyramide,926,HP:0003707,Calf muscle pseudohypertrophy
run_002,fedratinib,5347,HP:0001290,Generalized hypotonia
run_002,axitinib,4225,HP:0001290,Generalized hypotonia
run_002,nintedanib,4903,HP:0001290,Generalized hypotonia
run_002,fedratinib,5347,HP:0100543,Cognitive impairment
run_002,brilliant Blue G,5359,HP:0100543,Cognitive impairment
run_002,carvedilol,522,HP:0100543,Cognitive impairment
run_002,fedratinib,5347,HP:0001263,Global developmental delay
run_002,axitinib,4225,HP:0001263,Global developmental delay
run_002,erlotinib,1045,HP:0001263,Global developmental delay
run_002,aprindine,231,HP:0003115,Abnormal EKG
run_002,levosimendan,1576,HP:0003115,Abnormal EKG
run_002,disopyramide,926,HP:0003115,Abnormal EKG
run_002,carvedilol,522,HP:0003307,Hyperlordosis
run_002,levosimendan,1576,HP:0003307,Hyperlordosis
run_002,fedratinib,5347,HP:0003307,Hyperlordosis
run_002,fedratinib,5347,HP:0001328,Specific learning disability
run_002,carvedilol,522,HP:0001328,Specific learning disability
run_002,quercetin,3514,HP:0001328,Specific learning disability
run_002,fedratinib,5347,HP:0001270,Motor delay
run_002,axitinib,4225,HP:0001270,Motor delay
run_002,nintedanib,4903,HP:0001270,Motor delay
run_003,levosimendan,1576,HP:0001371,Flexion contracture
run_003,aprindine,231,HP:0001371,Flexion contracture
run_003,erlotinib,1045,HP:0001371,Flexion contracture
run_003,levosimendan,1576,HP:0003323,Progressive muscle weakness
run_003,aprindine,231,HP:0003323,Progressive muscle weakness
run_003,nisoldipine,1942,HP:0003323,Progressive muscle weakness
run_003,levosimendan,1576,HP:0001265,Hyporeflexia
run_003,aprindine,231,HP:0001265,Hyporeflexia
run_003,disopyramide,926,HP:0001265,Hyporeflexia
run_003,aprindine,231,HP:0003391,Gowers sign
run_003,levosimendan,1576,HP:0003391,Gowers sign
run_003,mecamylamine,1646,HP:0003391,Gowers sign
run_003,levosimendan,1576,HP:0002515,Waddling gait
