Run,Drug,Drug ID,Symptom ID,Symptom
run_001,aclarubicin,80,HP:0000975,Hyperhidrosis
run_001,norethindrone acetate,1963,HP:0000975,Hyperhidrosis
run_001,testosterone,2607,HP:0000975,Hyperhidrosis
run_001,aclarubicin,80,HP:0002650,Scoliosis
run_001,dobutamine,937,HP:0002650,Scoliosis
run_001,oxyquinoline,3290,HP:0002650,Scoliosis
run_001,dobutamine,937,HP:0000239,Large fontanelles
run_001,tiludronic acid,2666,HP:0000239,Large fontanelles
run_001,ciclosporin,760,HP:0000239,Large fontanelles
run_001,aclarubicin,80,HP:0007957,Corneal opacity
run_001,tiludronic acid,2666,HP:0007957,Corneal opacity
run_001,disulfiram,928,HP:0007957,Corneal opacity
run_001,aclarubicin,80,HP:0001371,Flexion contracture
run_001,levonorgestrel,1572,HP:0001371,Flexion contracture
run_001,aldosterone,111,HP:0001371,Flexion contracture
run_001,dimethyl fumarate,4757,HP:0002808,Kyphosis
run_001,ciclosporin,760,HP:0002808,Kyphosis
run_001,tiludronic acid,2666,HP:0002808,Kyphosis
run_001,entacapone,1018,HP:0000238,Hydrocephalus
run_001,pyrithione,3508,HP:0000238,Hydrocephalus
run_001,pazopanib,4118,HP:0000238,Hydrocephalus
run_001,aclarubicin,80,HP:0004306,Abnormal endocardium morphology
run_001,levonorgestrel,1572,HP:0004306,Abnormal endocardium morphology
run_001,prednisolone tebutate,2251,HP:0004306,Abnormal endocardium morphology
run_001,losartan,1610,HP:0000164,Abnormality of the dentition
run_001,cefotetan,547,HP:0000164,Abnormality of the dentition
run_001,tiludronic acid,2666,HP:0000164,Abnormality of the dentition
run_001,aclarubicin,80,HP:0004621,Enlarged vertebral pedicles
run_001,doxycycline,961,HP:0004621,Enlarged vertebral pedicles
run_001,norethindrone acetate,1963,HP:0004621,Enlarged vertebral pedicles
run_001,aclarubicin,80,HP:0002019,Constipation
run_001,estradiol,1057,HP:0002019,Constipation
run_001,aldosterone,111,HP:0002019,Constipation
run_001,aclarubicin,80,HP:0003084,Fractures of the long bones
run_001,levonorgestrel,1572,HP:0003084,Fractures of the long bones
run_001,pregnenolone succinate,2256,HP:0003084,Fractures of the long bones
run_001,aclarubicin,80,HP:0005019,Diaphyseal thickening
run_001,doxycycline,961,HP:0005019,Diaphyseal thickening
run_001,norethindrone acetate,1963,HP:0005019,Diaphyseal thickening
run_001,aclarubicin,80,HP:0006487,Bowing of the long bones
run_001,zoledronic acid,2868,HP:0006487,Bowing of the long bones
run_001,tolcapone,2697,HP:0006487,Bowing of the long bones
run_001,tacrolimus,2552,HP:0003083,Dislocated radial head
run_001,sulindac,2534,HP:0003083,Dislocated radial head
run_001,aldosterone,111,HP:0003083,Dislocated radial head
run_001,aclarubicin,80,HP:0002150,Hypercalciuria
run_001,aldosterone,111,HP:0002150,Hypercalciuria
run_001,prednisolone tebutate,2251,HP:0002150,Hypercalciuria
run_001,doxycycline,961,HP:0001634,Mitral valve prolapse
run_001,flopropione,1180,HP:0001634,Mitral valve prolapse
run_001,disulfiram,928,HP:0001634,Mitral valve prolapse
run_001,ciclosporin,760,HP:0002616,Aortic root aneurysm
run_001,oxyquinoline,3290,HP:0002616,Aortic root aneurysm
run_001,entacapone,1018,HP:0002616,Aortic root aneurysm
run_001,tiludronic acid,2666,HP:0002647,Aortic dissection
run_001,siltuximab,4977,HP:0002647,Aortic dissection
run_001,nandrolone,1879,HP:0002647,Aortic dissection
run_001,oxyquinoline,3290,HP:0000883,Thin ribs
run_001,prednisolone,2245,HP:0000883,Thin ribs
run_001,raloxifene,2351,HP:0000883,Thin ribs
run_001,aclarubicin,80,HP:0000944,Abnormality of the metaphysis
run_001,vandetanib,4178,HP:0000944,Abnormality of the metaphysis
run_001,ascorbic acid,4072,HP:0000944,Abnormality of the metaphysis
run_001,testosterone,2607,HP:0001382,Joint hypermobility
run_001,losartan,1610,HP:0001382,Joint hypermobility
run_001,nandrolone,1879,HP:0001382,Joint hypermobility
run_001,aclarubicin,80,HP:0002983,Micromelia
run_001,oxyquinoline,3290,HP:0002983,Micromelia
run_001,nandrolone,1879,HP:0002983,Micromelia
run_001,tacrolimus,2552,HP:0000592,Blue sclerae
run_001,prazosin,4209,HP:0000592,Blue sclerae
run_001,ciclosporin,760,HP:0000592,Blue sclerae
run_001,aclarubicin,80,HP:0000774,Narrow chest
run_001,oxyquinoline,3290,HP:0000774,Narrow chest
run_001,dobutamine,937,HP:0000774,Narrow chest
run_001,aclarubicin,80,HP:0000639,Nystagmus
run_001,daunorubicin,786,HP:0000639,Nystagmus
run_001,thiram,3601,HP:0000639,Nystagmus
run_001,aclarubicin,80,HP:0005257,Thoracic hypoplasia
run_001,tolcapone,2697,HP:0005257,Thoracic hypoplasia
run_001,doxorubicin,960,HP:0005257,Thoracic hypoplasia
run_001,aclarubicin,80,HP:0100661,Trigeminal neuralgia
run_001,nandrolone,1879,HP:0100661,Trigeminal neuralgia
run_001,pregnenolone succinate,2256,HP:0100661,Trigeminal neuralgia
run_001,dobutamine,937,HP:0003100,Slender long bone
run_001,prednisolone tebutate,2251,HP:0003100,Slender long bone
run_001,siltuximab,4977,HP:0003100,Slender long bone
