Run,Drug,Drug ID,Symptom ID,Symptom
run_001,siltuximab,4977,HP:0000978,Bruising susceptibility
run_001,ascorbic acid,4072,HP:0000978,Bruising susceptibility
run_001,ciclosporin,760,HP:0000978,Bruising susceptibility
run_001,ciclosporin,760,HP:0000239,Large fontanelles
run_001,siltuximab,4977,HP:0000239,Large fontanelles
run_001,ascorbic acid,4072,HP:0000239,Large fontanelles
run_001,siltuximab,4977,HP:0003272,Abnormal hip bone morphology
run_001,raloxifene,2351,HP:0003272,Abnormal hip bone morphology
run_001,prednisolone,2245,HP:0003272,Abnormal hip bone morphology
run_001,siltuximab,4977,HP:0002758,Osteoarthritis
run_001,ascorbic acid,4072,HP:0002758,Osteoarthritis
run_001,ciclosporin,760,HP:0002758,Osteoarthritis
run_001,siltuximab,4977,HP:0002857,Genu valgum
run_001,ciclosporin,760,HP:0002857,Genu valgum
run_001,ascorbic acid,4072,HP:0002857,Genu valgum
run_001,siltuximab,4977,HP:0001659,Aortic regurgitation
run_001,prednisolone,2245,HP:0001659,Aortic regurgitation
run_001,tacrolimus,2552,HP:0001659,Aortic regurgitation
run_001,siltuximab,4977,HP:0000767,Pectus excavatum
run_001,ascorbic acid,4072,HP:0000767,Pectus excavatum
run_001,ciclosporin,760,HP:0000767,Pectus excavatum
run_001,ciclosporin,760,HP:0000444,Convex nasal ridge
run_001,siltuximab,4977,HP:0000444,Convex nasal ridge
run_001,tacrolimus,2552,HP:0000444,Convex nasal ridge
run_001,siltuximab,4977,HP:0000164,Abnormality of the dentition
run_001,ciclosporin,760,HP:0000164,Abnormality of the dentition
run_001,prednisolone,2245,HP:0000164,Abnormality of the dentition
run_001,siltuximab,4977,HP:0002019,Constipation
run_001,raloxifene,2351,HP:0002019,Constipation
run_001,prednisolone,2245,HP:0002019,Constipation
run_001,ciclosporin,760,HP:0000703,Dentinogenesis imperfecta
run_001,siltuximab,4977,HP:0000703,Dentinogenesis imperfecta
run_001,tacrolimus,2552,HP:0000703,Dentinogenesis imperfecta
run_001,ascorbic acid,4072,HP:0002980,Femoral bowing
run_001,ciclosporin,760,HP:0002980,Femoral bowing
run_001,tacrolimus,2552,HP:0002980,Femoral bowing
run_001,ascorbic acid,4072,HP:0002015,Dysphagia
run_001,ciclosporin,760,HP:0002015,Dysphagia
run_001,siltuximab,4977,HP:0002015,Dysphagia
run_001,ascorbic acid,4072,HP:0001342,Cerebral hemorrhage
run_001,siltuximab,4977,HP:0001342,Cerebral hemorrhage
run_001,caplacizumab,5308,HP:0001342,Cerebral hemorrhage
run_001,siltuximab,4977,HP:0000248,Brachycephaly
run_001,prednisolone,2245,HP:0000248,Brachycephaly
run_001,ciclosporin,760,HP:0000248,Brachycephaly
run_001,siltuximab,4977,HP:0000768,Pectus carinatum
run_001,ciclosporin,760,HP:0000768,Pectus carinatum
run_001,ascorbic acid,4072,HP:0000768,Pectus carinatum
run_001,siltuximab,4977,HP:0003312,Abnormal form of the vertebral bodies
run_001,ascorbic acid,4072,HP:0003312,Abnormal form of the vertebral bodies
run_001,ciclosporin,760,HP:0003312,Abnormal form of the vertebral bodies
run_001,siltuximab,4977,HP:0001251,Ataxia
run_001,ascorbic acid,4072,HP:0001251,Ataxia
run_001,prednisolone,2245,HP:0001251,Ataxia
run_001,siltuximab,4977,HP:0000938,Osteopenia
run_001,ciclosporin,760,HP:0000938,Osteopenia
run_001,prednisolone,2245,HP:0000938,Osteopenia
run_001,siltuximab,4977,HP:0000682,Abnormal dental enamel morphology
run_001,prednisolone,2245,HP:0000682,Abnormal dental enamel morphology
run_001,raloxifene,2351,HP:0000682,Abnormal dental enamel morphology
run_001,siltuximab,4977,HP:0003401,Paresthesia
run_001,raloxifene,2351,HP:0003401,Paresthesia
run_001,tacrolimus,2552,HP:0003401,Paresthesia
run_001,siltuximab,4977,HP:0002650,Scoliosis
run_001,ascorbic acid,4072,HP:0002650,Scoliosis
run_001,ciclosporin,760,HP:0002650,Scoliosis
run_001,siltuximab,4977,HP:0001730,Progressive hearing impairment
run_001,prednisolone,2245,HP:0001730,Progressive hearing impairment
run_001,prednisolone tebutate,2251,HP:0001730,Progressive hearing impairment
run_001,siltuximab,4977,HP:0007957,Corneal opacity
run_001,ascorbic acid,4072,HP:0007957,Corneal opacity
run_001,doxorubicin,960,HP:0007957,Corneal opacity
run_001,siltuximab,4977,HP:0001510,Growth delay
run_001,ascorbic acid,4072,HP:0001510,Growth delay
run_001,tacrolimus,2552,HP:0001510,Growth delay
run_001,siltuximab,4977,HP:0003100,Slender long bone
run_001,tacrolimus,2552,HP:0003100,Slender long bone
run_001,ciclosporin,760,HP:0003100,Slender long bone
run_001,siltuximab,4977,HP:0000269,Prominent occiput
run_001,tacrolimus,2552,HP:0000269,Prominent occiput
run_001,ciclosporin,760,HP:0000269,Prominent occiput
run_001,siltuximab,4977,HP:0000256,Macrocephaly
run_001,ascorbic acid,4072,HP:0000256,Macrocephaly
run_001,tacrolimus,2552,HP:0000256,Macrocephaly
run_001,siltuximab,4977,HP:0002089,Pulmonary hypoplasia
run_001,ciclosporin,760,HP:0002089,Pulmonary hypoplasia
run_001,prednisolone,2245,HP:0002089,Pulmonary hypoplasia
run_001,siltuximab,4977,HP:0002512,Brain stem compression
run_001,ascorbic acid,4072,HP:0002512,Brain stem compression
run_001,tacrolimus,2552,HP:0002512,Brain stem compression
run_001,siltuximab,4977,HP:0000347,Micrognathia
run_001,ascorbic acid,4072,HP:0000347,Micrognathia
run_001,ciclosporin,760,HP:0000347,Micrognathia
run_001,siltuximab,4977,HP:0030680,Abnormality of cardiovascular system morphology
